time,open,high,low,close,volume,num_trades,qav,taker_buy_bav,taker_buy_qav
2020-07-29 01:59:59.999000,316.77000000,318.82000000,312.38000000,315.23000000,57152.40884000,27385,18012288.64829610,28050.20790000,8844587.98917900
2020-07-29 03:59:59.999000,315.22000000,317.74000000,314.36000000,316.48000000,41062.98672000,18313,12975524.92457650,21925.47119000,6927074.55885110
2020-07-29 05:59:59.999000,316.48000000,319.40000000,314.12000000,318.07000000,56046.61470000,25379,17772857.26763050,29248.46990000,9276236.41778390
2020-07-29 07:59:59.999000,318.05000000,322.76000000,317.63000000,321.11000000,99787.99796000,37127,32041215.44629890,61838.85329000,19859627.35627680
2020-07-29 09:59:59.999000,321.10000000,325.00000000,319.25000000,320.85000000,107879.82237000,45662,34834199.49935370,57610.85285000,18612460.14012480
2020-07-29 11:59:59.999000,320.85000000,323.90000000,320.09000000,323.08000000,62990.42702000,27837,20277113.26131210,31007.93072000,9984050.94844330
2020-07-29 13:59:59.999000,323.07000000,323.44000000,319.67000000,321.98000000,58860.50328000,27146,18945501.57394080,27293.58506000,8786415.94041110
2020-07-29 15:59:59.999000,321.96000000,325.00000000,318.00000000,321.51000000,93099.11936000,38588,30000653.53700880,45004.13461000,14508410.73795470
2020-07-29 17:59:59.999000,321.51000000,323.45000000,319.76000000,320.61000000,64200.50187000,28758,20663583.57035130,29903.16472000,9626763.44505890
2020-07-29 19:59:59.999000,320.63000000,323.20000000,320.54000000,321.67000000,43996.67048000,21401,14173064.67020310,22811.36616000,7349519.91013550
2020-07-29 21:59:59.999000,321.68000000,323.50000000,321.15000000,323.25000000,36468.28916000,19501,11753878.81374140,17886.32509000,5765675.54878700
2020-07-29 23:59:59.999000,323.26000000,323.43000000,315.60000000,317.71000000,71256.97972000,30500,22751780.92069620,30826.80465000,9843098.49719190
2020-07-30 01:59:59.999000,317.76000000,319.46000000,315.25000000,316.43000000,52982.27248000,23961,16829213.22347250,27162.16181000,8628924.89215180
2020-07-30 03:59:59.999000,316.43000000,318.58000000,315.26000000,316.10000000,60119.07865000,23346,19049406.71821280,26879.41843000,8518981.29482990
2020-07-30 05:59:59.999000,316.09000000,318.16000000,315.62000000,316.52000000,38843.29796000,17355,12315430.69365450,19793.11598000,6277362.47971640
2020-07-30 07:59:59.999000,316.53000000,320.17000000,314.05000000,318.99000000,74405.28758000,32005,23643443.65619450,42106.35026000,13386047.97813880
2020-07-30 09:59:59.999000,319.02000000,320.07000000,317.73000000,318.88000000,40507.48044000,21112,12917496.11548970,21474.27209000,6848762.36047180
2020-07-30 11:59:59.999000,318.88000000,318.94000000,316.54000000,317.85000000,39568.62849000,20852,12571593.38579070,19571.76916000,6218431.24020320
2020-07-30 13:59:59.999000,317.84000000,319.86000000,315.40000000,318.70000000,72394.86914000,30338,23051572.92800510,35944.48144000,11446322.65901100
2020-07-30 15:59:59.999000,318.70000000,319.24000000,317.00000000,319.21000000,56664.79570000,25023,18026651.81954870,28885.00361000,9190541.82644080
2020-07-30 17:59:59.999000,319.18000000,324.90000000,318.00000000,324.65000000,119580.60417000,45279,38501324.84668560,66042.61779000,21258573.24674130
2020-07-30 19:59:59.999000,324.69000000,335.58000000,324.69000000,333.25000000,231942.83400000,78029,76551253.75036590,141500.96767000,46682103.46417970
2020-07-30 21:59:59.999000,333.28000000,342.00000000,333.08000000,335.35000000,165494.45347000,63178,55928663.92840140,91419.78265000,30900709.55656490
2020-07-30 23:59:59.999000,335.36000000,337.77000000,333.03000000,334.87000000,56323.96490000,30243,18900401.45246970,27923.69585000,9371300.85214670
2020-07-31 01:59:59.999000,334.82000000,336.58000000,330.00000000,332.68000000,57318.51109000,31800,19101153.06244320,26923.08777000,8975385.92104390
2020-07-31 03:59:59.999000,332.69000000,333.26000000,328.40000000,329.05000000,45213.41562000,27815,14962181.23375540,19310.69135000,6390994.07133200
2020-07-31 05:59:59.999000,329.03000000,333.25000000,328.67000000,332.09000000,46053.26436000,23943,15290005.97428690,25276.81757000,8394748.67227880
2020-07-31 07:59:59.999000,332.10000000,338.38000000,331.96000000,336.81000000,78489.80377000,39376,26420165.94417740,39644.70926000,13344151.85348350
2020-07-31 09:59:59.999000,336.80000000,340.50000000,335.78000000,337.55000000,81651.70643000,42019,27618949.74578030,41933.01831000,14185203.89405880
2020-07-31 11:59:59.999000,337.55000000,346.71000000,337.00000000,343.86000000,139632.59656000,59480,47834055.70222230,79774.72763000,27337084.63442330
2020-07-31 13:59:59.999000,343.85000000,345.47000000,338.71000000,342.69000000,98626.23192000,48163,33797615.23792290,47636.09006000,16326792.99004130
2020-07-31 15:59:59.999000,342.69000000,347.61000000,341.94000000,344.38000000,122480.51683000,55334,42234818.95141430,60286.21780000,20793511.55008660
2020-07-31 17:59:59.999000,344.38000000,345.91000000,340.32000000,342.83000000,97236.49881000,46739,33400101.26520580,46061.79905000,15824478.97248560
2020-07-31 19:59:59.999000,342.83000000,345.50000000,341.36000000,343.71000000,47541.47884000,26005,16336090.93336380,23175.79166000,7965940.97150850
2020-07-31 21:59:59.999000,343.72000000,349.45000000,343.58000000,347.24000000,69891.95238000,30993,24218468.20100150,39542.95082000,13710988.29269560
2020-07-31 23:59:59.999000,347.27000000,347.94000000,342.60000000,346.33000000,63952.47321000,30121,22069374.76434580,29883.16413000,10313031.92648070
2020-08-01 01:59:59.999000,346.32000000,347.77000000,343.07000000,345.22000000,47132.14775000,24087,16272206.93287920,22116.82929000,7635485.01953430
2020-08-01 03:59:59.999000,345.22000000,352.85000000,344.83000000,352.26000000,114560.88863000,41275,40003940.74073590,70430.25563000,24597954.90290000
2020-08-01 05:59:59.999000,352.26000000,358.33000000,350.50000000,355.59000000,137406.22888000,57782,48800373.23109860,74180.41367000,26350058.04428300
2020-08-01 07:59:59.999000,355.60000000,357.41000000,353.99000000,354.99000000,80234.19814000,36187,28526436.22048610,40692.02014000,14469269.79974920
2020-08-01 09:59:59.999000,354.99000000,360.52000000,354.92000000,359.21000000,91138.50266000,38088,32601857.75636210,47946.84615000,17161145.28288910
2020-08-01 11:59:59.999000,359.21000000,359.96000000,352.00000000,356.13000000,97804.24188000,41313,34778641.57041120,46620.42754000,16576298.64344010
2020-08-01 13:59:59.999000,356.13000000,357.59000000,352.79000000,353.52000000,63344.26042000,32590,22506336.21262490,29362.59098000,10432984.83723140
2020-08-01 15:59:59.999000,353.53000000,358.00000000,353.17000000,357.89000000,48316.23585000,27595,17190293.69569830,26102.85214000,9288345.84122710
2020-08-01 17:59:59.999000,357.90000000,373.50000000,357.48000000,373.25000000,226687.86681000,83719,82868860.98976050,134406.47859000,49125344.36595590
2020-08-01 19:59:59.999000,373.20000000,388.80000000,363.75000000,383.30000000,286398.91136000,101798,108398000.26618360,146467.94178000,55480888.79510070
2020-08-01 21:59:59.999000,383.35000000,392.67000000,382.47000000,384.34000000,141054.36441000,62385,54588864.57367310,70887.04990000,27445404.76783610
2020-08-01 23:59:59.999000,384.34000000,388.07000000,378.08000000,387.00000000,106765.49524000,52081,41007632.67297060,54711.89985000,21022703.09685480
2020-08-02 01:59:59.999000,387.01000000,399.36000000,385.60000000,399.29000000,155954.96441000,70485,61281241.02473200,83707.06440000,32898417.42623280
2020-08-02 03:59:59.999000,399.30000000,408.00000000,394.70000000,407.41000000,148749.07147000,62073,59475772.30029340,79827.70565000,31919730.35958810
2020-08-02 05:59:59.999000,407.35000000,415.85000000,325.00000000,370.32000000,651368.67434000,242245,247121086.00353530,317292.03174000,120742939.19379270
2020-08-02 07:59:59.999000,370.37000000,382.62000000,367.14000000,380.21000000,173698.91014000,88993,65134009.51663890,87311.25154000,32753758.14790230
2020-08-02 09:59:59.999000,380.29000000,381.50000000,371.80000000,377.77000000,107165.05441000,56207,40430009.40775780,52218.09792000,19703740.95558440
2020-08-02 11:59:59.999000,377.79000000,378.62000000,354.32000000,361.55000000,271019.22374000,97053,98942126.29958470,120839.88341000,44171549.29410630
2020-08-02 13:59:59.999000,361.64000000,367.99000000,357.50000000,365.22000000,144209.68022000,67816,52405264.73856490,67266.52395000,24448213.21890750
2020-08-02 15:59:59.999000,365.24000000,372.44000000,361.28000000,368.13000000,124285.39705000,47755,45751002.98651610,68018.74023000,25034022.49023510
2020-08-02 17:59:59.999000,368.18000000,388.61000000,367.88000000,384.73000000,230768.11982000,82748,87948953.36379800,117397.16585000,44740761.53407310
2020-08-02 19:59:59.999000,384.73000000,386.87000000,372.00000000,379.22000000,131135.59287000,55398,49913004.94891150,64735.76978000,24631400.44506260
2020-08-02 21:59:59.999000,379.20000000,380.13000000,369.01000000,377.50000000,104372.42814000,48087,39189634.77441450,49840.68057000,18714399.27131960
2020-08-02 23:59:59.999000,377.53000000,381.30000000,368.10000000,372.42000000,82181.97955000,41975,30804930.93277200,39347.73419000,14756703.15275370
2020-08-03 01:59:59.999000,372.45000000,383.94000000,366.50000000,379.73000000,114427.16500000,56398,43176437.33647080,57833.35873000,21828710.82925420
2020-08-03 03:59:59.999000,379.74000000,385.82000000,377.84000000,379.62000000,72644.15751000,34255,27762387.69764090,35978.78375000,13753165.60705540
2020-08-03 05:59:59.999000,379.62000000,384.59000000,379.15000000,384.45000000,46056.23256000,24700,17579978.71965260,20619.93800000,7871064.29782500
